advisor_id,company_name,fund_id,fund_short_name,id,inception_date,initial_unit_value,manager_id,manager_name,manager_name_real,nav,price_date,ret_1m,ret_1y,ret_2y,ret_3m,ret_3y,ret_4y,ret_5y,ret_6m,ret_incep,ret_incep_a,ret_ytd
CO000003YU,小熊猫资产,HF00000FV1,小熊猫二号,61,2013-01-04,1.0,"PL000006I6,PL000006I7","李治国,唐勇","<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000006I6"">李治国</a>, <a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000006I7"">唐勇</a>",4.899946,2015-06-02,-0.229667,1.347849,3.0547,0.178896,,,,0.795853,4.475418,1.072357,0.386847
CO000002RR,盈阳资产,HF00000FLF,北方信托-盈阳七号,62,2015-02-09,1.0,PL000003T9,薄君杰,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000003T9"">薄君杰</a>",5.4748,2015-08-07,0.034934,,,0.583319,,,,3.966706,4.4748,28.973435,
CO000009IQ,奥瀚投资,HF00000HOH,奥瀚投资全球宏观,63,2014-03-13,1.0,PL000006NN,张文军,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000006NN"">张文军</a>",5.458839,2015-08-07,0.043767,2.023075,,0.133906,,,,-0.026002,4.458839,2.313646,0.56185
CO0000006J,青岛以太,HF00000ADV,青岛以太量化基金2号,64,2014-08-04,1.0,PL000003RE,丁坚,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000003RE"">丁坚</a>",5.3628,2015-08-14,0.13901,4.50539,,-0.125112,,,,1.607098,4.3628,4.3628,1.305986
CO000000BP,渤海证券,HF00000DF7,渤海分级汇鑫2号B,65,2014-12-22,1.0,PL000000ZM,王智勇,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000000ZM"">王智勇</a>",1.0382,2015-07-31,0.293224,,,-0.143258,,,,0.686552,4.294263,16.410428,1.738034
CO000000E3,混沌投资,HF000000VH,华宝信托-千足金混沌二号,66,2008-12-15,1.0,PL0000002P,王歆,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL0000002P"">王歆</a>",1.9896,2015-07-24,0.007698,0.952313,0.9504,0.139388,1.028551,0.885703,1.639499,0.555104,4.276231,0.287419,0.640637
CO000000I1,感恩在线投资,HF0000014T,感恩成长,67,2007-08-11,1.0,PL000000HF,宁金山,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000000HF"">宁金山</a>",5.26,2012-12-31,-0.003977,0.289216,0.289216,0.217875,,,,0.226107,4.26,0.365164,0.289216
CO000008OL,宏锡基金,HF00000VVK,宏锡期货基金,68,2015-03-16,1.0,PL000006ZA,刘锡斌,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000006ZA"">刘锡斌</a>",5.230531,2015-08-17,-0.018433,,,1.616516,,,,,4.230531,52.028565,
,,HF0000092G,阿土2号,69,2014-07-15,1.0,PL000003G6,陈永盛,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000003G6"">陈永盛</a>",5.133729,2015-08-17,-0.002822,4.881611,,-0.218376,,,,0.628591,4.133729,3.526726,1.349091
CO000000MT,道冲投资,HF00000EBQ,道冲套利1号进取级,70,2014-08-25,1.0,PL000000NO,李盛开,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000000NO"">李盛开</a>",5.101,2015-08-07,0.012907,4.131791,,0.345555,,,,1.113966,4.101,4.101,1.328161
